使用组织,编码,名称,规格型号,产品类型,基本单位,物料分组,备注
"UnitX, Inc.",CHA2-25-14CU-C16,工业相机,MV-CH250-90UC,产品,Pcs,成品,MV-CH250-90UC/1.1"/14fps/hirose-6p
"UnitX, Inc.",CHAC1011CEC16,工业相机,MV-CH100-60GC,产品,Pcs,成品,
"UnitX, Inc.",CP-001,标定板,Charuco pattern,配件,Pcs,原材料,
"UnitX, Inc.",CT-10-S-C1,IO触发线,Hirose-6pin（10m）,配件,Pcs,原材料,V4&V5控制器+海康相机
"UnitX, Inc.",CT-10-S-C2,IO触发线,M8-6P（10m）,配件,Pcs,原材料,V4&V5控制器+basler相机/V6控制器+海康相机
"UnitX, Inc.",CT-5-S-C1,IO触发线,Hirose-6pin（5m）/两端广濑头,配件,Pcs,原材料,V4&V5控制器+海康相机
"UnitX, Inc.",CT-5-S-C1-P,IO触发线,Hirose-6pin（5m）/power 12V,配件,Pcs,原材料,不出货
"UnitX, Inc.",CT-5-S-C2,IO触发线,M8-6P（5m）,配件,Pcs,原材料,V4&V5控制器+basler相机/V6控制器+海康相机
"UnitX, Inc.",CT-5-S-C2-P,IO触发线,M8-6P（5m）/power 12V,配件,Pcs,原材料,需要带供电的触发线（特殊使用）
"UnitX, Inc.",CT-5-S-C3,IO触发线,M8-M8 (5M) / V6控制器+basler A2相机,配件,Pcs,原材料, V6控制器+basler A2相机
"UnitX, Inc.",DB-10-C3-C,DB9串口线,DB9母对母（125直连/V4控制器）(10m),配件,Pcs,原材料,
"UnitX, Inc.",DB-10-S-C,DB9串口线,DB9母对母全Pin（V5控制器）(10m),配件,Pcs,原材料,
"UnitX, Inc.",DB-3-C3-C,DB9串口线,DB9母对母（125直连/V4控制器）(3m),配件,Pcs,原材料,
"UnitX, Inc.",DB-3-S-C,DB9串口线,DB9母对母全Pin（V5控制器）(3m),配件,Pcs,原材料,
"UnitX, Inc.",DB-5-C3-C,DB9串口线,DB9母对母（125直连/V4控制器）(5m),配件,Pcs,原材料,
"UnitX, Inc.",DB-5-S-C,DB9串口线,DB9母对母全Pin（V5控制器）(5m),配件,Pcs,原材料,
"UnitX, Inc.",DF23C-40DP-0.5V(92),矩形连接器,DF23C-40DP-0.5V(92),配件,Pcs,原材料,
"UnitX, Inc.",DF23C-40DS-0.5V(51),矩形连接器,DF23C-40DS-0.5V(51),配件,Pcs,原材料,
"UnitX, Inc.",DIO-opto,采集卡,PCIE光耦高速卡/usb1616转dio,配件,Pcs,原材料,
"UnitX, Inc.",DOG-HC01,加密狗,HALCON Steady 22.11,配件,Pcs,原材料,
"UnitX, Inc.",DOG-MIL01,加密狗,MXRT0I00000000U/MIL 扫码读码,配件,Pcs,原材料,
"UnitX, Inc.",ETS-5p-Ind,工业以太网交换机,5网口交换机-工业级,配件,Pcs,原材料,
"UnitX, Inc.",ETS-8p-Ind,工业以太网交换机,8网口交换机-工业级,配件,Pcs,原材料,
"UnitX, Inc.",ETS-OS-Ind,网口交换机-办公用,普通/办公用 网口交换机,产品,Pcs,原材料,
"UnitX, Inc.",FOAM-Mini,泡棉-Mini,珍珠棉-mini,配件,套,原材料,
"UnitX, Inc.",FOAM-V4,泡棉-V4,白色珍珠棉,配件,套,原材料,
"UnitX, Inc.",FOAM-V5,泡棉-V5,珍珠棉,配件,套,原材料,
"UnitX, Inc.",GY-IMLB-001,小灯板件,内壁镜小灯板配件/0度/30度/60°,配件,Pcs,原材料,
"UnitX, Inc.",GY-LS-PSP001,光源加工结构件,光源/灯板配合的加工件,配件,套,原材料,
"UnitX, Inc.",GY-OPTC001,普通控制器,普通OPT光源控制器/01,产品,Pcs,成品,
"UnitX, Inc.",GY-OPTLS001,普通光源,OPT常规光源/01,产品,Pcs,成品,
"UnitX, Inc.",GYTP-2A001,测试平台,双丝杆测试平台/2A(2轴运动）,产品,套,原材料,
"UnitX, Inc.",GY-UPS-N001,UPS 电源,山克3000K/其他,配件,Pcs,原材料,
"UnitX, Inc.",HP-BK-22,液晶显示器,惠普立/背挂式22寸显示器,配件,Pcs,原材料,
"UnitX, Inc.",HP-M24F,液晶显示器,惠普仅立式24寸显示器/M24F,配件,Pcs,原材料,
"UnitX, Inc.",I3090,显卡,turbo-3090,配件,Pcs,原材料,
"UnitX, Inc.",IGEM-GY01,集成设备,带电气自动化等集成设备,产品,Pcs,成品,
"UnitX, Inc.",IMDH-55-120123,内壁镜,今镜RF3652B/视清PRHI230-82-D03-W30/其他内壁镜,产品,Pcs,成品,
